"outcome","tipo","n_obs","n_soggetti","p_gruppo","p_lgbtq","note","p_fdr_gruppo","p_fdr_lgbtq","sig_gruppo","sig_lgbtq"
"valutazione","nominale",499,169,0.153094797654785,0.306454496743579,"[multinom] ",0.153094797654785,0.490327194789727,FALSE,FALSE
"invio","nominale",495,169,6.95319936297256e-06,0.161349020700801,"[multinom] ",5.56255949037805e-05,0.322698041401602,TRUE,FALSE
"prima_visita","ordinale",496,168,0.000590430892078699,0.910525163623657,"",0.000787241189438266,0.910525163623657,TRUE,FALSE
"att_diagnosi","ordinale",489,167,2.25186042609956e-05,0.640297720963321,"",9.00744170439825e-05,0.853730294617761,TRUE,FALSE
"sbagliate","binario",493,168,0.000217134833722194,0.148302440658175,"",0.00034741573395551,0.322698041401602,TRUE,FALSE
"costo","ordinale",494,168,0.000119424938582858,0.861722753362164,"",0.000318466502887622,0.910525163623657,TRUE,FALSE
"dove","nominale",494,168,0.000214433315115693,0.007897041715876,"[multinom] ",0.00034741573395551,0.063176333727008,TRUE,FALSE
"n_prof","ordinale",493,168,0.0378622608279643,0.0410144135907689,"",0.0432711552319592,0.164057654363076,TRUE,FALSE
